Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Cheick Diallo,C,25,DET,3,31,0.375,3.1,NA,1,0.375,0.625,0,0,0,NA,0.375,0.667,0.2,NA,NA,NA,NA,0.333,NA,NA,0.125,1,NA,NA,NA,NA,0,0,diallch01
Hamidou Diallo,SG,23,DET,58,1269,0.496,9.5,NA,0.823,0.333,0.3,0.122,0.068,0.177,NA,0.55,0.691,0.5,0.391,0.361,0.247,NA,0.517,0.913,NA,0.101,51,NA,0.505,0.277,NA,2,0,diallha01
Gorgui Dieng,C,32,ATL,44,371,0.473,19.2,NA,0.393,0.134,0.071,0.089,0.098,0.607,NA,0.545,0.733,0.375,0.6,0.364,0.426,NA,0.833,0.931,NA,0.018,2,NA,0.074,0.4,NA,0,0,dienggo01
Luka Doncic,PG,22,DAL,65,2301,0.457,15.9,NA,0.594,0.128,0.239,0.165,0.062,0.406,NA,0.528,0.778,0.499,0.44,0.356,0.353,NA,0.107,0.219,NA,0.006,7,NA,0.049,0.286,NA,2,0,doncilu01
Luguentz Dort,SG,22,OKC,51,1665,0.404,16.4,NA,0.461,0.197,0.204,0.029,0.032,0.539,NA,0.487,0.615,0.419,0.238,0.348,0.332,NA,0.491,0.877,NA,0.037,24,NA,0.143,0.429,NA,1,0,dortlu01
Ayo Dosunmu,SG,22,CHI,77,2110,0.52,12.3,NA,0.652,0.368,0.114,0.097,0.073,0.348,NA,0.596,0.701,0.377,0.481,0.564,0.376,NA,0.572,0.986,NA,0.045,20,NA,0.489,0.407,NA,1,1,dosunay01
Damyean Dotson,SG,27,NYK,2,21,0.5,11.3,NA,0.75,0.25,0.25,0.25,0,0.25,NA,0.667,1,0,1,NA,0,NA,0.5,NA,NA,0,0,NA,1,0,NA,0,0,dotsoda01
Devon Dotson,PG,22,CHI,11,85,0.478,12.2,NA,0.609,0.478,0,0.13,0,0.391,NA,0.643,0.818,NA,0,NA,0.222,NA,0.556,1,NA,0,0,NA,0.333,0,NA,0,0,dotsode01
Sekou Doumbouya,PF,21,LAL,2,16,0.625,8.9,NA,0.75,0.5,0.25,0,0,0.25,NA,0.667,1,0,NA,NA,0.5,NA,0.5,1,NA,0,0,NA,0,NA,NA,0,0,doumbse01
PJ Dozier,SG,25,DEN,18,340,0.364,17.2,NA,0.515,0.141,0.141,0.081,0.152,0.485,NA,0.412,0.714,0.143,0.5,0.333,0.313,NA,0.333,0.867,NA,0.051,4,NA,0.271,0.154,NA,0,0,doziepj01
Chris Duarte,SG,24,IND,55,1541,0.432,15.5,NA,0.589,0.203,0.135,0.148,0.103,0.411,NA,0.475,0.627,0.369,0.38,0.453,0.369,NA,0.477,0.787,NA,0.027,15,NA,0.282,0.375,NA,4,0,duartch01
David Duke Jr.,PG,22,BRK,22,341,0.361,10.6,NA,0.657,0.463,0.13,0.028,0.037,0.343,NA,0.423,0.5,0.214,0,0.5,0.243,NA,0.567,1,NA,0.093,10,NA,0.541,0.3,NA,0,0,dukeda01
Kris Dunn,PG,27,POR,14,336,0.431,9.1,NA,0.892,0.275,0.412,0.108,0.098,0.108,NA,0.473,0.607,0.405,0.455,0.4,0.091,NA,0.14,1,NA,0.049,4,NA,0,NA,NA,0,0,dunnkr01
Kevin Durant,PF,33,BRK,55,2047,0.518,15.1,NA,0.731,0.109,0.143,0.319,0.161,0.269,NA,0.568,0.744,0.516,0.528,0.575,0.383,NA,0.499,0.557,NA,0.033,34,NA,0.067,0.55,NA,0,0,duranke01
Jaime Echenique,C,24,WAS,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,echenja01
Anthony Edwards,SG,20,MIN,72,2466,0.441,15.2,NA,0.516,0.282,0.129,0.055,0.051,0.484,NA,0.519,0.658,0.356,0.338,0.359,0.357,NA,0.365,0.553,NA,0.055,58,NA,0.086,0.327,NA,2,0,edwaran01
Carsen Edwards,SG,23,DET,4,79,0.3,17.6,NA,0.467,0.233,0.067,0.1,0.067,0.533,NA,0.357,0.286,0,0.333,1,0.25,NA,0.4,0.25,NA,0,0,NA,0.063,1,NA,0,0,edwarca01
Kessler Edwards,SF,21,BRK,48,987,0.412,15.4,NA,0.491,0.266,0.116,0.071,0.037,0.509,NA,0.473,0.493,0.387,0.526,0.5,0.353,NA,0.645,1,NA,0.094,18,NA,0.456,0.371,NA,1,0,edwarke02
Rob Edwards,SG,25,OKC,2,11,0.25,24.3,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0.25,NA,NA,0,NA,0,0,NA,0.5,0,NA,0,0,edwarro01
CJ Elleby,SF,21,POR,58,1174,0.393,13.4,NA,0.591,0.312,0.169,0.075,0.036,0.409,NA,0.462,0.615,0.231,0.478,0.182,0.294,NA,0.631,0.973,NA,0.036,10,NA,0.317,0.225,NA,1,0,ellebcj01
Wayne Ellington,SG,34,LAL,43,810,0.414,23.4,NA,0.11,0.042,0.025,0.03,0.013,0.89,NA,0.615,0.8,0.667,0.429,0.333,0.389,NA,0.875,0.951,NA,0,0,NA,0.28,0.475,NA,0,0,ellinwa01
Joel Embiid,C,27,PHI,68,2297,0.499,11.9,NA,0.812,0.253,0.194,0.24,0.124,0.188,NA,0.529,0.763,0.409,0.431,0.428,0.371,NA,0.513,0.71,NA,0.06,74,NA,0.048,0.25,NA,1,0,embiijo01
Tacko Fall,C,26,CLE,11,59,0.417,3.2,NA,1,0.667,0.333,0,0,0,NA,0.417,0.625,0,NA,NA,NA,NA,0.6,NA,NA,0.25,2,NA,NA,NA,NA,0,0,fallta01
Derrick Favors,C,30,OKC,39,653,0.516,9.7,NA,0.912,0.341,0.165,0.231,0.176,0.088,NA,0.554,0.694,0.433,0.548,0.406,0.125,NA,0.837,1,NA,0.077,12,NA,0.875,0.071,NA,0,0,favorde01
Dorian Finney-Smith,PF,28,DAL,80,2644,0.471,17,NA,0.371,0.233,0.098,0.025,0.016,0.629,NA,0.599,0.752,0.324,0.471,0.273,0.395,NA,0.766,0.983,NA,0.082,49,NA,0.414,0.461,NA,2,0,finnedo01
Malachi Flynn,PG,23,TOR,44,537,0.393,18.2,NA,0.508,0.12,0.153,0.077,0.158,0.492,NA,0.452,0.545,0.464,0.571,0.31,0.333,NA,0.214,0.8,NA,0,0,NA,0.122,0.727,NA,2,0,flynnma01
Aleem Ford,SF,24,ORL,5,74,0.3,19.5,NA,0.25,0.15,0.1,0,0,0.75,NA,0.8,1,0.5,NA,NA,0.133,NA,0.75,1,NA,0.05,1,NA,0.2,0,NA,0,0,fordal03
Trent Forrest,PG,23,UTA,60,765,0.49,8.8,NA,0.826,0.316,0.439,0.058,0.013,0.174,NA,0.555,0.592,0.529,0.556,0.5,0.185,NA,0.225,1,NA,0.026,3,NA,0.63,0.235,NA,2,0,forretr01
Evan Fournier,SG,29,NYK,80,2358,0.417,19.6,NA,0.359,0.081,0.122,0.079,0.077,0.641,NA,0.465,0.603,0.39,0.474,0.432,0.389,NA,0.478,0.88,NA,0.004,3,NA,0.281,0.437,NA,2,0,fournev01
De'Aaron Fox,PG,24,SAC,59,2083,0.473,12.4,NA,0.772,0.199,0.267,0.189,0.117,0.228,NA,0.524,0.714,0.466,0.451,0.453,0.297,NA,0.215,0.554,NA,0.013,14,NA,0.137,0.235,NA,0,0,foxde01
Melvin Frazier,SG,25,OKC,3,120,0.271,12.4,NA,0.563,0.25,0.313,0,0,0.438,NA,0.444,0.667,0.267,NA,NA,0.048,NA,0.75,1,NA,0.021,1,NA,0.667,0.071,NA,0,0,frazime01
Enes Freedom,C,29,BOS,35,411,0.526,4.4,NA,0.948,0.557,0.33,0.041,0.021,0.052,NA,0.533,0.537,0.5,0.5,1,0.4,NA,0.388,1,NA,0.031,2,NA,0.2,1,NA,0,0,kanteen01
Markelle Fultz,PG,23,ORL,18,360,0.474,11.1,NA,0.903,0.229,0.309,0.211,0.154,0.097,NA,0.5,0.775,0.389,0.459,0.37,0.235,NA,0.177,0.5,NA,0.011,2,NA,0.118,0.5,NA,3,0,fultzma01
Daniel Gafford,C,23,WAS,72,1444,0.693,2.9,NA,0.998,0.657,0.304,0.022,0.012,0.002,NA,0.695,0.837,0.448,0.333,0,0,NA,0.737,NA,NA,0.438,158,NA,0,NA,NA,0,0,gaffoda01
Danilo Gallinari,PF,33,ATL,66,1672,0.434,18.4,NA,0.508,0.119,0.089,0.151,0.149,0.492,NA,0.485,0.718,0.377,0.467,0.382,0.381,NA,0.469,0.92,NA,0.032,19,NA,0.116,0.471,NA,2,1,gallida01
Darius Garland,PG,22,CLE,68,2430,0.462,15.5,NA,0.613,0.195,0.183,0.137,0.097,0.387,NA,0.512,0.607,0.451,0.497,0.456,0.383,NA,0.261,0.489,NA,0.001,0,NA,0.126,0.368,NA,2,1,garlada01
Marcus Garrett,SG,23,MIA,12,128,0.238,9.3,NA,0.81,0.476,0.143,0.095,0.095,0.19,NA,0.235,0.2,0.333,0,0.5,0.25,NA,0.5,1,NA,0,0,NA,0.5,0,NA,0,0,garrema01
Usman Garuba,PF,19,HOU,24,239,0.432,12.6,NA,0.545,0.5,0.023,0.023,0,0.455,NA,0.583,0.636,0,0,NA,0.25,NA,0.571,1,NA,0.136,5,NA,0.25,0,NA,0,0,garubus01
Luka Garza,C,23,DET,32,389,0.449,12.7,NA,0.667,0.293,0.218,0.068,0.088,0.333,NA,0.51,0.674,0.5,0.2,0.231,0.327,NA,0.52,1,NA,0.027,4,NA,0.061,0,NA,0,0,garzalu01
Rudy Gay,PF,35,UTA,55,1038,0.414,17.4,NA,0.464,0.142,0.15,0.111,0.061,0.536,NA,0.494,0.778,0.333,0.405,0.391,0.345,NA,0.506,0.929,NA,0.047,14,NA,0.286,0.379,NA,0,0,gayru01
Paul George,PF,31,LAC,31,1077,0.421,16.6,NA,0.596,0.146,0.123,0.16,0.167,0.404,NA,0.467,0.667,0.346,0.451,0.396,0.354,NA,0.22,0.484,NA,0.019,10,NA,0.152,0.538,NA,0,0,georgpa01
Taj Gibson,C,36,NYK,52,946,0.518,9.9,NA,0.771,0.398,0.181,0.102,0.09,0.229,NA,0.555,0.667,0.433,0.529,0.333,0.395,NA,0.676,1,NA,0.127,18,NA,0.658,0.52,NA,0,0,gibsota01
Josh Giddey,SF,19,OKC,54,1700,0.419,12.7,NA,0.682,0.196,0.336,0.097,0.054,0.318,NA,0.492,0.649,0.444,0.431,0.333,0.263,NA,0.302,0.821,NA,0.009,4,NA,0.202,0.326,NA,0,0,giddejo01
Shai Gilgeous-Alexander,PG,23,OKC,56,1942,0.453,12.1,NA,0.718,0.22,0.32,0.131,0.047,0.282,NA,0.514,0.662,0.445,0.442,0.49,0.3,NA,0.137,0.303,NA,0.023,23,NA,0.077,0.391,NA,0,0,gilgesh01
Anthony Gill,PF,29,WAS,44,463,0.569,9.2,NA,0.761,0.294,0.45,0.018,0,0.239,NA,0.578,0.625,0.551,0.5,NA,0.538,NA,0.771,1,NA,0.046,3,NA,0.462,0.583,NA,0,0,gillan01
Freddie Gillespie,PF,24,ORL,9,119,0.409,6.5,NA,0.955,0.273,0.545,0.136,0,0.045,NA,0.429,0.333,0.417,0.667,NA,0,NA,0.778,NA,NA,0.091,2,NA,1,0,NA,0,0,gillefr01
Rudy Gobert,C,29,UTA,66,2120,0.713,2.7,NA,0.992,0.738,0.244,0.008,0.002,0.008,NA,0.718,0.803,0.468,0.75,0,0,NA,0.724,NA,NA,0.494,233,NA,0,NA,NA,2,0,goberru01
Brandon Goodwin,PG,26,CLE,36,502,0.416,13.9,NA,0.643,0.266,0.201,0.117,0.058,0.357,NA,0.455,0.634,0.355,0.333,0.222,0.345,NA,0.244,0.632,NA,0,0,NA,0.145,0.25,NA,2,0,goodwbr01
Jordan Goodwin,SG,23,WAS,2,6,0,16.6,NA,0.667,0.333,0,0,0.333,0.333,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,goodwjo01
Aaron Gordon,PF,26,DEN,75,2376,0.52,11.5,NA,0.688,0.381,0.169,0.084,0.054,0.312,NA,0.605,0.796,0.369,0.329,0.422,0.335,NA,0.628,0.851,NA,0.173,130,NA,0.419,0.349,NA,4,0,gordoaa01
Eric Gordon,SG,33,HOU,57,1669,0.475,16.2,NA,0.466,0.238,0.2,0.021,0.007,0.534,NA,0.548,0.679,0.416,0.333,0.5,0.412,NA,0.34,0.718,NA,0.005,3,NA,0.066,0.5,NA,0,0,gordoer01
Devonte' Graham,PG,26,NOP,76,2162,0.363,21.2,NA,0.309,0.082,0.07,0.055,0.102,0.691,NA,0.413,0.627,0.298,0.4,0.325,0.341,NA,0.308,0.755,NA,0.001,1,NA,0.13,0.342,NA,4,1,grahade01
Jerami Grant,PF,27,DET,47,1500,0.426,15.2,NA,0.637,0.202,0.149,0.106,0.18,0.363,NA,0.465,0.631,0.442,0.243,0.429,0.358,NA,0.498,0.967,NA,0.049,29,NA,0.358,0.33,NA,1,0,grantje01
Hassani Gravett,PG,25,ORL,8,171,0.474,20.9,NA,0.316,0.079,0.105,0.079,0.053,0.684,NA,0.583,0.333,0.5,1,0.5,0.423,NA,0.429,0.727,NA,0,0,NA,0.192,0.6,NA,1,0,graveha01
Danny Green,SF,34,PHI,62,1353,0.394,21.8,NA,0.153,0.069,0.047,0.019,0.019,0.847,NA,0.469,0.682,0.2,0.5,0.333,0.38,NA,0.87,0.922,NA,0.003,1,NA,0.487,0.402,NA,1,0,greenda02
Draymond Green,PF,31,GSW,46,1329,0.525,9.8,NA,0.79,0.315,0.377,0.058,0.039,0.21,NA,0.586,0.716,0.557,0.267,0.3,0.296,NA,0.714,1,NA,0.093,21,NA,0.222,0.167,NA,4,0,greendr01
Jalen Green,SG,19,HOU,67,2138,0.426,15.7,NA,0.52,0.271,0.129,0.031,0.088,0.48,NA,0.502,0.68,0.252,0.333,0.381,0.343,NA,0.438,0.662,NA,0.087,69,NA,0.146,0.373,NA,1,0,greenja05
JaMychal Green,PF,31,DEN,67,1085,0.486,12.1,NA,0.621,0.391,0.156,0.034,0.04,0.379,NA,0.621,0.734,0.392,0.273,0.692,0.266,NA,0.69,1,NA,0.217,61,NA,0.306,0.342,NA,2,0,greenja01
Javonte Green,SF,28,CHI,65,1519,0.542,9.1,NA,0.689,0.535,0.123,0.031,0,0.311,NA,0.625,0.695,0.425,0.2,NA,0.356,NA,0.679,1,NA,0.194,58,NA,0.594,0.433,NA,0,0,greenja02
Jeff Green,PF,35,DEN,75,1849,0.524,11.3,NA,0.682,0.342,0.233,0.078,0.03,0.318,NA,0.62,0.79,0.496,0.415,0.188,0.315,NA,0.821,0.981,NA,0.153,74,NA,0.548,0.315,NA,2,0,greenje02
Josh Green,SG,21,DAL,67,1039,0.508,11.1,NA,0.695,0.328,0.227,0.098,0.043,0.305,NA,0.573,0.786,0.397,0.4,0.273,0.359,NA,0.784,1,NA,0.082,20,NA,0.679,0.396,NA,1,0,greenjo02
Blake Griffin,C,32,BRK,56,958,0.425,13.5,NA,0.537,0.339,0.15,0.035,0.013,0.463,NA,0.565,0.613,0.532,0.273,0.5,0.262,NA,0.621,0.947,NA,0.058,13,NA,0.262,0.237,NA,1,0,griffbl01
Quentin Grimes,SG,21,NYK,46,786,0.404,22.1,NA,0.196,0.089,0.017,0.021,0.068,0.804,NA,0.5,0.714,0,0.2,0.438,0.381,NA,0.609,0.958,NA,0.013,3,NA,0.249,0.468,NA,0,0,grimequ01
Kyle Guy,SG,24,MIA,19,186,0.4,18.7,NA,0.385,0.108,0.169,0.031,0.077,0.615,NA,0.48,0.857,0.091,0.5,0.8,0.35,NA,0.5,0.786,NA,0,0,NA,0.225,0.444,NA,0,0,guyky01
Rui Hachimura,PF,23,WAS,42,943,0.491,14.7,NA,0.677,0.197,0.15,0.16,0.171,0.323,NA,0.512,0.84,0.404,0.393,0.338,0.447,NA,0.606,0.982,NA,0.063,22,NA,0.285,0.429,NA,0,0,hachiru01
Tyler Hall,SG,24,NYK,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,hallty01
R.J. Hampton,SG,20,ORL,64,1402,0.383,13.7,NA,0.6,0.217,0.304,0.044,0.035,0.4,NA,0.405,0.525,0.36,0.2,0.313,0.35,NA,0.333,0.906,NA,0.028,9,NA,0.197,0.389,NA,1,0,hamptrj01
Tim Hardaway Jr.,SG,29,DAL,42,1245,0.394,19.6,NA,0.426,0.094,0.092,0.098,0.142,0.574,NA,0.473,0.68,0.429,0.404,0.413,0.336,NA,0.664,0.804,NA,0.034,15,NA,0.194,0.322,NA,4,0,hardati02
Maurice Harkless,SF,28,SAC,47,863,0.459,15,NA,0.442,0.265,0.155,0.006,0.017,0.558,NA,0.65,0.688,0.643,0,0.333,0.307,NA,0.788,1,NA,0.116,17,NA,0.604,0.361,NA,0,0,harklma01
Jared Harper,PG,24,NOP,5,43,0.538,16.8,NA,0.538,0.192,0.115,0.077,0.154,0.462,NA,0.643,0.4,1,0.5,0.75,0.417,NA,0.333,0.6,NA,0.038,1,NA,0.083,1,NA,0,0,harpeja01
Gary Harris,SG,27,ORL,61,1730,0.434,17.2,NA,0.454,0.145,0.152,0.051,0.107,0.546,NA,0.494,0.675,0.464,0.429,0.322,0.384,NA,0.589,0.931,NA,0.014,7,NA,0.464,0.471,NA,0,0,harriga01
Joe Harris,SF,30,BRK,14,423,0.452,19.6,NA,0.29,0.113,0.105,0.048,0.024,0.71,NA,0.417,0.429,0.385,0.5,0.333,0.466,NA,0.867,1,NA,0,0,NA,0.307,0.63,NA,0,0,harrijo01
Tobias Harris,PF,29,PHI,73,2543,0.482,11.7,NA,0.731,0.25,0.282,0.156,0.043,0.269,NA,0.525,0.699,0.444,0.428,0.386,0.367,NA,0.444,0.891,NA,0.045,43,NA,0.262,0.361,NA,1,0,harrito02
Shaquille Harrison,SG,28,BRK,2,23,0.333,9.5,NA,0.667,0.5,0.167,0,0,0.333,NA,0.5,0.667,0,NA,NA,0,NA,0.5,NA,NA,0,0,NA,1,0,NA,0,0,harrish01
Isaiah Hartenstein,C,23,LAC,68,1216,0.626,5.9,NA,0.918,0.456,0.369,0.093,0,0.082,NA,0.64,0.754,0.519,0.559,NA,0.467,NA,0.749,0.857,NA,0.197,66,NA,0.2,0.333,NA,0,0,harteis01
Udonis Haslem,C,41,MIA,13,83,0.452,9.4,NA,0.871,0.419,0.161,0.194,0.097,0.129,NA,0.481,0.692,0,0.5,0.333,0.25,NA,0.769,1,NA,0,0,NA,0.75,0.333,NA,0,0,hasleud01
Sam Hauser,SF,24,BOS,26,158,0.46,22.7,NA,0.12,0.1,0.02,0,0,0.88,NA,0.667,0.8,0,NA,NA,0.432,NA,0.75,1,NA,0,0,NA,0.318,0.571,NA,0,0,hausesa01
Jaxson Hayes,C,21,NOP,70,1398,0.616,6.6,NA,0.857,0.54,0.259,0.04,0.018,0.143,NA,0.66,0.777,0.485,0.375,0.286,0.351,NA,0.76,0.95,NA,0.281,105,NA,0.316,0.278,NA,1,0,hayesja02
Killian Hayes,PG,20,DET,66,1647,0.383,14.3,NA,0.636,0.163,0.253,0.135,0.085,0.364,NA,0.452,0.747,0.345,0.387,0.308,0.263,NA,0.341,0.909,NA,0.031,13,NA,0.359,0.333,NA,0,0,hayeski01
Gordon Hayward,SF,31,CHO,49,1564,0.459,14.4,NA,0.643,0.214,0.173,0.157,0.099,0.357,NA,0.496,0.682,0.327,0.381,0.574,0.391,NA,0.579,0.872,NA,0.032,19,NA,0.205,0.444,NA,0,0,haywago01
Aaron Henry,SF,22,PHI,6,17,0.2,12,NA,0.8,0.2,0.2,0.4,0,0.2,NA,0.25,1,0,0,NA,0,NA,1,NA,NA,0,0,NA,0,NA,NA,0,0,henryaa01
Willy Hernangómez,C,27,NOP,50,839,0.52,4.2,NA,0.963,0.563,0.352,0.043,0.006,0.037,NA,0.527,0.63,0.391,0.357,0,0.333,NA,0.687,1,NA,0.098,30,NA,0.083,0,NA,1,0,hernawi01
Tyler Herro,SG,22,MIA,66,2151,0.447,16,NA,0.609,0.137,0.193,0.156,0.123,0.391,NA,0.477,0.688,0.407,0.446,0.391,0.399,NA,0.334,0.709,NA,0.014,14,NA,0.207,0.385,NA,5,0,herroty01
Haywood Highsmith,SF,25,MIA,19,163,0.348,16.7,NA,0.391,0.217,0.13,0,0.043,0.609,NA,0.389,0.3,0.5,NA,0.5,0.321,NA,0.857,1,NA,0,0,NA,0.571,0.375,NA,0,0,highsha01
George Hill,PG,35,MIL,54,1253,0.429,15.4,NA,0.513,0.265,0.138,0.062,0.047,0.487,NA,0.546,0.74,0.316,0.294,0.462,0.306,NA,0.442,0.927,NA,0.015,3,NA,0.381,0.392,NA,1,0,hillge01
Solomon Hill,SF,30,ATL,13,139,0.15,17.9,NA,0.35,0.25,0.1,0,0,0.65,NA,0.143,0.2,0,NA,NA,0.154,NA,1,1,NA,0,0,NA,0.231,0.333,NA,1,0,hillso01
Nate Hinton,SG,22,IND,2,2,0,8.1,NA,1,0,1,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,hintona01
Jaylen Hoard,SF,22,OKC,7,240,0.489,10,NA,0.722,0.322,0.344,0.033,0.022,0.278,NA,0.538,0.724,0.387,0.333,0.5,0.36,NA,0.429,0.889,NA,0.044,4,NA,0.28,0.571,NA,0,0,hoardja01
Jrue Holiday,PG,31,MIL,67,2207,0.501,13.6,NA,0.664,0.222,0.246,0.124,0.071,0.336,NA,0.547,0.651,0.464,0.542,0.515,0.411,NA,0.197,0.432,NA,0.004,4,NA,0.103,0.364,NA,1,0,holidjr01
Richaun Holmes,C,28,SAC,45,1074,0.66,5.5,NA,0.983,0.5,0.273,0.2,0.01,0.017,NA,0.664,0.767,0.549,0.567,0.667,0.4,NA,0.75,1,NA,0.233,62,NA,0,NA,NA,0,0,holmeri01
Scotty Hopson,SG,32,OKC,1,18,0.5,17.3,NA,0.75,0,0.25,0,0.5,0.25,NA,0.667,NA,0,NA,1,0,NA,0.5,NA,NA,0,0,NA,0,NA,NA,0,0,hopsosc01
Al Horford,C,35,BOS,69,2005,0.467,15.3,NA,0.534,0.17,0.243,0.069,0.053,0.466,NA,0.582,0.784,0.507,0.538,0.333,0.336,NA,0.678,0.978,NA,0.056,31,NA,0.279,0.378,NA,0,0,horfoal01
Talen Horton-Tucker,SG,21,LAL,60,1511,0.416,12.8,NA,0.662,0.297,0.204,0.1,0.059,0.338,NA,0.492,0.613,0.409,0.389,0.344,0.269,NA,0.406,0.796,NA,0.035,16,NA,0.187,0.324,NA,0,0,hortota01
Dwight Howard,C,36,LAL,60,971,0.612,4.5,NA,0.932,0.63,0.251,0.037,0.014,0.068,NA,0.618,0.732,0.418,0.25,0,0.533,NA,0.675,0.875,NA,0.233,40,NA,0.133,1,NA,0,0,howardw01
Markus Howard,SG,22,DEN,31,176,0.386,20.2,NA,0.307,0.089,0.119,0.04,0.059,0.693,NA,0.355,0.333,0.417,0.25,0.333,0.4,NA,0.545,0.821,NA,0,0,NA,0.243,0.529,NA,0,0,howarma02
Kevin Huerter,SF,23,ATL,74,2188,0.454,18,NA,0.459,0.109,0.136,0.136,0.079,0.541,NA,0.53,0.663,0.485,0.505,0.467,0.389,NA,0.519,0.9,NA,0.004,3,NA,0.26,0.449,NA,2,0,huertke01
Jay Huff,C,23,LAL,4,20,0,19.9,NA,0.333,0,0.333,0,0,0.667,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,huffja01
Feron Hunt,SF,22,NYK,2,8,0,1.5,NA,1,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,NA,0,0,huntfe01
De'Andre Hunter,SF,24,ATL,53,1577,0.442,13.9,NA,0.661,0.219,0.179,0.153,0.11,0.339,NA,0.474,0.651,0.398,0.409,0.333,0.379,NA,0.661,0.932,NA,0.043,22,NA,0.405,0.405,NA,0,0,huntede01
Chandler Hutchison,SF,25,PHO,6,22,0.5,5,NA,1,0.5,0.5,0,0,0,NA,0.5,0,1,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,0,0,hutchch01
Bones Hyland,SG,21,DEN,69,1310,0.403,19.4,NA,0.373,0.123,0.13,0.072,0.049,0.627,NA,0.465,0.7,0.284,0.341,0.536,0.366,NA,0.364,0.687,NA,0.009,3,NA,0.173,0.306,NA,2,0,hylanbo01
Andre Iguodala,SF,38,GSW,31,603,0.38,18.1,NA,0.388,0.207,0.116,0.025,0.041,0.612,NA,0.617,0.76,0.571,0,0.4,0.23,NA,0.621,0.941,NA,0.157,17,NA,0.338,0.24,NA,3,0,iguodan01
Joe Ingles,SF,34,UTA,45,1122,0.404,21.3,NA,0.211,0.039,0.147,0.014,0.011,0.789,NA,0.617,0.818,0.619,0.25,0.333,0.347,NA,0.595,0.756,NA,0,0,NA,0.187,0.405,NA,0,0,inglejo01
Brandon Ingram,SF,24,NOP,55,1869,0.461,14.6,NA,0.77,0.14,0.152,0.249,0.229,0.23,NA,0.501,0.681,0.436,0.506,0.427,0.327,NA,0.401,0.892,NA,0.045,39,NA,0.133,0.4,NA,3,1,ingrabr01
Kyrie Irving,PG,29,BRK,29,1091,0.469,16.5,NA,0.612,0.093,0.188,0.203,0.128,0.388,NA,0.501,0.702,0.543,0.432,0.405,0.418,NA,0.233,0.59,NA,0.002,1,NA,0.146,0.429,NA,0,0,irvinky01
Wes Iwundu,SF,27,ATL,3,82,0.444,12.3,NA,0.722,0.278,0.167,0.111,0.167,0.278,NA,0.385,0.4,0.333,0,0.667,0.6,NA,0.6,0.667,NA,0,0,NA,0.6,0.333,NA,0,0,iwundwe01
Frank Jackson,PG,23,DET,53,1164,0.402,17.4,NA,0.422,0.166,0.159,0.068,0.029,0.578,NA,0.529,0.725,0.338,0.515,0.5,0.308,NA,0.676,0.942,NA,0.01,5,NA,0.33,0.402,NA,0,0,jacksfr01
Isaiah Jackson,PF,20,IND,36,541,0.563,5,NA,0.922,0.621,0.218,0.053,0.029,0.078,NA,0.584,0.68,0.444,0.182,0.333,0.313,NA,0.757,1,NA,0.248,46,NA,0.063,1,NA,0,0,jacksis01
Jaren Jackson Jr.,PF,22,MEM,78,2126,0.415,13.1,NA,0.613,0.218,0.335,0.055,0.005,0.387,NA,0.476,0.615,0.395,0.421,0.4,0.319,NA,0.563,0.984,NA,0.051,46,NA,0.175,0.257,NA,1,0,jacksja02
Reggie Jackson,SG,31,LAC,75,2337,0.392,16.3,NA,0.581,0.145,0.19,0.106,0.14,0.419,NA,0.439,0.627,0.444,0.354,0.304,0.326,NA,0.205,0.587,NA,0.011,10,NA,0.186,0.358,NA,2,0,jacksre01
LeBron James,PF,37,LAL,56,2084,0.524,13.8,NA,0.633,0.325,0.141,0.073,0.094,0.367,NA,0.62,0.796,0.465,0.382,0.426,0.359,NA,0.407,0.559,NA,0.07,85,NA,0.074,0.303,NA,0,0,jamesle01
DeJon Jarreau,SG,24,IND,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,jarrede01
